latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,days_since_last_review,room_type_Private room,room_type_Shared room,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_grouped_Bedford-Stuyvesant,neighbourhood_grouped_Bushwick,neighbourhood_grouped_Chelsea,neighbourhood_grouped_Clinton Hill,neighbourhood_grouped_Crown Heights,neighbourhood_grouped_East Harlem,neighbourhood_grouped_East Village,neighbourhood_grouped_Financial District,neighbourhood_grouped_Flatbush,neighbourhood_grouped_Greenpoint,neighbourhood_grouped_Harlem,neighbourhood_grouped_Hell's Kitchen,neighbourhood_grouped_Lower East Side,neighbourhood_grouped_Midtown,neighbourhood_grouped_Other,neighbourhood_grouped_Upper East Side,neighbourhood_grouped_Upper West Side,neighbourhood_grouped_Washington Heights,neighbourhood_grouped_West Village,neighbourhood_grouped_Williamsburg,log_price,name_bigram_private_room,name_bigram_central_park,name_bigram_east_village,name_bigram_private_bedroom,name_bigram_bedroom_apartment,name_bigram_cozy_room,name_bigram_upper_east,name_bigram_times_square,name_bigram_west_village,name_bigram_new_york,name_bigram_bedroom_apt,name_bigram_park_slope,name_bigram_upper_west,name_bigram_cozy_bedroom,name_bigram_spacious_bedroom
40.72219,-73.93762,55,4,197,3,284,23.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.02535169073515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.8213,-73.95318,50,3,273,3,359,7.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.9318256327243257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.6831,-73.95473,70,1,74,2,269,57.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2626798770413155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.66869,-73.9878,89,4,168,3,340,17.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.499809670330265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.68876,-73.94312,35,60,0,1,365,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58351893845611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.70186,-73.92745,85,2,231,2,22,16.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.454347296253507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.63702,-73.96327,150,1,0,1,365,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.017279836814924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.71401,-73.98917,40,1,214,4,188,3.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.713572066704308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.7229,-73.98199,68,2,245,2,96,17.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23410650459726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.66278,-73.97966,120,3,15,1,345,42.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.795790545596741,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40.69673,-73.97584,120,7,25,1,311,281.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.795790545596741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.79009,-73.97927,135,4,81,1,273,22.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.912654885736052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.81175,-73.94478,150,7,97,1,309,25.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.017279836814924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.65944,-73.96238,150,29,11,1,95,33.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.017279836814924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.74771,-73.9474,130,3,248,1,215,7.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.875197323201151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.68111,-73.95591,110,7,61,1,265,44.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.709530201312334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.68554,-73.9409,115,3,11,1,0,918.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7535901911063645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.69142,-73.97376,80,3,135,2,192,21.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.394449154672439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.68043,-73.93934,80,1,112,3,251,22.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.394449154672439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.78635,-73.97008,151,2,73,1,302,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0238805208462765,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.7042,-73.9356,228,3,82,1,140,52.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.43372200355424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.73506,-73.95392,144,2,328,1,234,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.976733742420574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.73961,-73.98074,200,7,19,1,257,105.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.303304908059076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.70881,-73.9593,150,30,105,1,30,16.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.017279836814924,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40.72004,-73.99104,110,5,19,1,301,51.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.709530201312334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
